metricTons	gasName	state	year
257859.55	Nitrous Oxide	VA	2011
5281018.6	Carbon Dioxide	NH	2011
85862.8	Biogenic CO2	KS	2011
2820203.04638	Biogenic CO2	CA	2011
9761837.358	Methane	TX	2010
103343183.070425	Carbon Dioxide	CA	2010
37169345.9	Carbon Dioxide	ND	2010
3836238.84	Methane	IN	2010
9678840.2	Carbon Dioxide	HI	2010
1728668.55	Methane	AR	2010
327273.786	Methane	ME	2010
19735155.25924	Carbon Dioxide	NV	2010
261420.59	Sulfur Hexafluoride	NY	2011
812174.5	Biogenic CO2	HI	2011
330686.16	Methane	NH	2011
97311.24	Sulfur Hexafluoride	GA	2011
48806891.03	Carbon Dioxide	SC	2010
68612.12	Sulfur Hexafluoride	MA	2011
1268514.5	Biogenic CO2	CT	2011
3298813.5	Biogenic CO2	NY	2011
181756.6	Biogenic CO2	SD	2011
178942.2	Biogenic CO2	NE	2010
1298185.4	Biogenic CO2	CT	2010
4538.61	Sulfur Hexafluoride	ME	2011
123563	Sulfur Hexafluoride	VA	2011
296167.2	PFCs	CO	2011
13920.55	Nitrous Oxide	DE	2010
8646333.3	Biogenic CO2	SC	2010
620	Nitrous Oxide	DC	2011
448564.88	PFCs	NY	2011
242138.07	Sulfur Hexafluoride	FL	2011
224340.62	Fluorinated GHG Production (CO2)	WV	2011
157632.45	Sulfur Hexafluoride	IN	2011
6922360.5	Biogenic CO2	NC	2010
3740.35	Sulfur Hexafluoride	NV	2011
2494736.4	Biogenic CO2	KY	2010
1708697.5	Biogenic CO2	ID	2011
608440	PFCs	WA	2010
12325.95	PFCs	NC	2011
2184.26	Nitrous Oxide	GU	2011
120419.7	PFCs	MO	2011
13039.5	Biogenic CO2	ND	2011
15033.1	Sulfur Hexafluoride	NH	2011
99616	PFCs	IN	2010
34475.75	Sulfur Hexafluoride	OK	2011
46015972.53	Carbon Dioxide	SC	2011
17358595.1	Carbon Dioxide	MA	2011
4499553.24	Methane	NC	2011
106362943.68506	Carbon Dioxide	KY	2011
45804539.7	Carbon Dioxide	KS	2011
2424832.183	Methane	UT	2011
42942649.6	Carbon Dioxide	AR	2011
4804028.01939387	Methane	MI	2011
38353257.32	Carbon Dioxide	VA	2011
53337561.943	Carbon Dioxide	CO	2011
